user_id,password,balance,currently_onboarded,trip_id,from_stop_id,onboarded_time
user1,sha256$vRwCGO5TbwD34Wyt$d55942ae89e1e4e55e169f88b8a6bd44b344f9a05e553629c078fe8b442e09c5,-30,false,,,
user2,sha256$LvvnvewkUqlTPl4g$37409410a98445a09d9e8c3325d27f582276a14d93c1370366bf2b6ec7ab6829,-25,false,,,
user3,sha256$udNnFje6wIG3DAVc$3598213c886bff51cf8044d587319811b5ed0aa88779aca483be9040e32368a6,-20,false,,,
user4,sha256$mELXLu0bQ5yPeHbC$531e4044b93ff50db4c308b468a97decc34c4af0349dd028efa99823ed1291cb,-15,false,,,
user5,sha256$rn16ggSxYDKVipAH$3e480c2996ff6b4e3a5ef44f9c1ae6058366a8083c6a4860c034ea9e1138ea91,-10,false,,,
user6,sha256$UylcgHWatP2qlSVH$e589ab15660910a971cb5add559f53acdf35667e89c265661eefc3de020ac51c,-5,false,,,
user7,sha256$i8bnOfBHvsNRLZkc$34b5cf761a7391736c224577a4e6a034203e89b322c8c0e37f8cd72858eaac1e,0,false,,,
user8,sha256$D4XGZr22mUXF2Urc$850b60ac31dd413ee56f2b0382aa1fbe7ae772ef9016f7f16a5d5c955f34abb2,5,false,,,
user9,sha256$PoIhDGKuVi2CupLs$b9a2a292aaf5d4f3f3f08b2cb12da300129865ece0965fcb353711ec08c9eda0,10,false,,,
user10,sha256$ptfUPyJRa7UpIloT$a7fdf546cac2b835157330adc37beefb6246a9068dafc645afa796207bfd6b63,15,false,,,
user11,sha256$WqPjcMMghKBlQLCO$eef7eef9a7f49a7539ce91d5d0c71ccec8756c2609f8b97ac2db083f65a1d502,20,false,,,
user12,sha256$Pr6I2vc0gGgQ4SXN$55b3bd8c13c6fda3352c8908e40b507b31fcb205a476549f6bdaba8f061670f4,25,false,,,
user13,sha256$95x1v5ZIfKgLuwO4$fff6922919733abb286ef3f5b438148772b9fbe2f7f47dfb497e07328086f84c,30,false,,,
user14,sha256$CcnTMVADhXGaxpG5$a463a73c94f86de9035155a564670acc53a49de8d602e0d3b6674f272e7f8fe4,35,false,,,
user15,sha256$n4TgXu2XTDFObsdB$eee3a10bd32242e76b202c123eeb985259cf0479632a6c646023377c0e33dcc1,40,false,,,
user16,sha256$KjcWqNby7McDlwTM$be74b05ebea7345fc77cc42e892629bcaf9428079fe11b15bd45d66621bd9204,45,false,,,
user17,sha256$huL05vAi5crd8Pf4$e437b82be262dcb1c16ad4378a93edf177c0b428b981344577d0dc4d5de2de41,50,false,,,
user18,sha256$neRs8dXhketKuU3t$c12d138155b4924eb5e0da51c408e5cc49b11e83fa01e05c8a9766fe384e3aa5,55,false,,,
user19,sha256$lwBMElKMzRV7chMt$b777b5ae246ce6fc47944fe990f9b7567680bdd68785cc1fbcadcf04d3f2b916,60,false,,,
user20,sha256$tIRKPk13WduMC4F9$b018530480fe807eb33a40c59713ef0f1c64aae3e608ef01e302af9cf86b1fd1,65,false,,,
user21,sha256$4lCOukBS9sdyAWGa$80de7688f0091442c5f971e9a16b7be5d7a4a6e0e78f39bd8cf334f47aeb6fcc,70,false,,,
user22,sha256$Jmdw7BEbWfGsoIFS$f83240ae3443b14d4952d9fde36f3015d650f566f2ad4feeafce1e22dc4d02f3,75,false,,,
user23,sha256$hnxVybDNPoJajXT7$304deb70e1cc62fcbad6ce2764638ae037c5c35ecbd690c42b7d702af103159e,80,false,,,
user24,sha256$5ejVzpstahuAdEwW$f371c9a4d7969d0575d500f4773fff8d405ba6bb0d66c4a0f22058676caab820,85,false,,,
user25,sha256$bjWthVvIPgeOlaTa$048b248f870007f354b5f57d10df708f1ad03671c5d15fd307a226cc392aee01,90,false,,,
user26,sha256$QAk3RibSYOkS4EPN$b735d6bed8581f36d3e76ac2fb00b820ff47c950d2f723c3f29fa9ea76a5eef0,95,false,,,
user27,sha256$xko9ITQaJKTe7YAx$2b3cf6e3c9615101d457626cf5eeaa7fe2f68d4c2854852d24d581bfb8c752ad,100,false,,,
user28,sha256$41PK5JBlbqORoB50$e3e7f93f0a1842b0d0e9886dd0a238e5009226b61d0c16d32751d4ec88b08d1c,105,false,,,
user29,sha256$IZurspRE9XwRKyTf$8b32e265b937f7271463095b26d5ada901ecc15fd4412b5b2cf99a778e977d18,110,false,,,
user30,sha256$FNXNL5vwTQqkMfES$559067169c887f51228fe091b0d44cb9223b57ef8aa1f145e01f006655127842,115,false,,,
user31,sha256$HFlkSTe3M8Tz8o81$8efb67001f1ad0e67ec36646c0398786b718c9f32194e4339680b900aaf90dc6,120,false,,,
user32,sha256$ivE2Cp5bfhN4heMo$57a1222c6531c0cb19e13fb14c2a3d4d326a02eedd964a3d1e982727a79a1159,125,false,,,
user33,sha256$tNGqc0S7qXl0oUj2$0aa89675a59602c26c02c61a9b45a1190e62b31425e4fa937483a6721e31f178,130,false,,,
user34,sha256$npqPYsNFBZutdPqH$bcba3f7d52a70669bf41b157ecb6075813e6c649e903a5a55291cfba8c530689,135,false,,,
user35,sha256$FdYinK6iHrO17xfA$beee648ae65233fab97aa4380ec40bd13cb75dcbacd0b3d977ee8c152da9b7fd,140,false,,,
user36,sha256$29YuyHKQiMHPTzc0$bee9723f985263b81597668df4fa22f3af773f0c6f0bb387702ccb46359279b6,145,false,,,
user37,sha256$xKY0RiSoaOYQ9eUP$1cffa51b65951cb5d8e950ab42d8d90fb5ababda21e342f9a8e2fd3900478810,150,false,,,
user38,sha256$GbVbrQuS5G9zryOh$7b048fbeb34d0ae1c7fe856d9497d004c6f31177471ddfbf3194cb8904d2b449,155,false,,,
user39,sha256$CBeufdtsIVx3cHRi$308db8aaa98cecf6d3eb8b309988cb2a18f1e0934437a10208019b183992c349,160,false,,,
user40,sha256$ZQNEMK3M5lr9vNJj$edb5e644532971c424d6f5270012e61bf085d1a64ed2137591de9bea07a55496,165,false,,,
user41,sha256$zTvFDnI9e5fI4yna$61c5407c5bd67bc611dac9970db49f5b3f2e78dc7aa38f8a8ba14313ec614185,170,false,,,
user42,sha256$pcpDDRtAN7NECMpu$2454ceb5c01cce33dbe5c17c01cdb764c3ac22450c3bfd5865ab74f531faa20c,175,false,,,
user43,sha256$vVPnLBj8653BPxSM$bd4eeb7330c9bc6679ad9943a8486192811fedda8a99f2fe0df2d4b293dbea82,180,false,,,
user44,sha256$M9TTHHNKCuzKwnrW$f2d7662f2b282ab8253990a34954585e1bf4a3cf604e3e1c6eaf87dc2498c0fb,185,false,,,
user45,sha256$hFBKsmEHPuhnY1dy$1aaa458b3f321ea376339f6b504f6554453b9cfb9ae28cd4492d6fec018d3920,190,false,,,
user46,sha256$RHMysjA9pwwAtmmf$1d68668e798b5b7045795eadf10e17a4e762c564e49cf803ea50ecf2c42f52ed,195,false,,,
user47,sha256$XE8PwQlaDrJRTMOl$3d8ed2ed5a933747426dd4820c9cfae744e4ac1a636bf73d384b7ed540383220,200,false,,,
user48,sha256$nnbz9WJTfM6WIJ29$ef394a861675630f61d14b5ae9d63f0418396c84e1cadcc9d968392620857ac1,205,false,,,
user49,sha256$qnnrBHGcVVMi2oF9$5e358f5b10150a6127ba6cbaed8e915f74216d0f5c65409c63a70fd3ba0c4636,210,false,,,
user50,sha256$nLSv72eSAUsJfr9n$6a1b843bd25dd8b8f2ed2e76b501f0065cc4af23c0e9bea2f6048ff157b82f64,215,false,,,
user51,sha256$QAGz1ibblmaXravY$d4307de7c5653b7225bfa47f61791c02d550cdecac2d5a3e946b93868f771638,220,false,,,
user52,sha256$Uylz3SwRXOv8dLVH$911fd66fd90589158f0f1eba43b6165a5149373f7f750cda9ad20059f76d3b4f,225,false,,,
user53,sha256$W2bdYiaCpsvbM2kw$a5af13bc3cc56a51b8654cee7445f888ac2d3819316c725087b7f86c3a2f507e,230,false,,,
user54,sha256$3NXsTFVOxOUvAWUD$799db5f31d717617562ebaecf6107b49f654ee524df145a556d94eef5b97497b,235,false,,,
user55,sha256$ivp9EB8m2XdOw8TH$9a750d68a181c7955a9b5ac82400edd472b66cf3ef5ac8baf53227fc2b5abc0c,240,false,,,
user56,sha256$RkyaeXRCQXzJWvke$2efeb9a8afa6fec015779ff710cb24822e299597cb09285abc117b7047225abf,245,false,,,
user57,sha256$WkKay9fF8RsJ5Hv4$5938b1c19994e16e6fdfbc5765341113da19f0e6222f70bfebbd57a928db29a3,250,false,,,
user58,sha256$1U9bHkIkN0J0dQtC$7524b2f94626115c282cc66653d1074bb6f47511ef05ca16780aea8f412f14e4,255,false,,,
user59,sha256$0JuGQpMdylbXYbrl$b01f16ef11444533e832a4d330e32611f1a8f06bde6325528ab7d729f48501d0,260,false,,,
user60,sha256$0FQo46DZrTmD6vaG$2ca87a882c23ee1e9f25105e963267dc76343e1e1136d8cf2f0f716838b1d46d,265,false,,,
user61,sha256$jFRibrTAmWjXhe0g$d86f2f0750bca01feac72d29beb34ac1126f4abb4fc584abfc76c7ce67090f1c,270,false,,,
user62,sha256$iObli2ZpjyYfslgm$f42bd12fd41195a9cc2a7f8bb0f9630da7be286ca2593145d7529ed6cbc371ff,275,false,,,
